,X,DIGESTMOD,QUALITY,PAYLOAD_SIZE_BYTE,ATTACK_PROBABILITY,goodput,avg_verification,latency,frame_rate,optimal,m_nr,t_nr,ratio
96,"0.2 optimal, m_nr: 30, t_nr: 5",sha512,10,96,0.01,0.7734349994624408,482.21271317829456,0.002304426350411823,16.464285714285715,0.2,30,5,0.16666666666666666
100,"0.25 optimal, m_nr: 30, t_nr: 5",sha512,10,96,0.0,0.7776608346534496,512.0,-0.002812907969447498,20.24137931034483,0.25,30,5,0.16666666666666666
101,"0.25 optimal, m_nr: 30, t_nr: 5",sha512,10,96,0.01,0.7468053083496646,482.56299765807967,0.0025906001625687347,14.857142857142858,0.25,30,5,0.16666666666666666
105,"0.3 optimal, m_nr: 30, t_nr: 5",sha512,10,96,0.0,0.7767396394521162,512.0,0.0023629463541150336,21.0,0.3,30,5,0.16666666666666666
106,"0.3 optimal, m_nr: 30, t_nr: 5",sha512,10,96,0.01,0.7445799621518772,483.14729411764716,0.0024535185355766126,15.428571428571429,0.3,30,5,0.16666666666666666
110,"0.1 optimal, m_nr: 30, t_nr: 5",sha512,10,96,0.0,0.775451277175497,1024.0,-0.002734625467045712,20.93103448275862,0.1,30,5,0.16666666666666666
111,"0.1 optimal, m_nr: 30, t_nr: 5",sha512,10,96,0.01,0.7480428889945229,904.8726705653022,0.0023846564986657603,16.482758620689655,0.1,30,5,0.16666666666666666
115,"0.05 optimal, m_nr: 30, t_nr: 5",sha512,10,96,0.0,0.7744161140251972,1536.0,0.002992712396449909,21.379310344827587,0.05,30,5,0.16666666666666666
116,"0.05 optimal, m_nr: 30, t_nr: 5",sha512,10,96,0.01,0.7403962670101306,1264.3184834123224,0.007026023440281137,17.17241379310345,0.05,30,5,0.16666666666666666
120,"0.15 optimal, m_nr: 30, t_nr: 10",sha512,10,96,0.0,0.683484941758164,1024.0,0.003469506924351065,19.75862068965517,0.15,30,10,0.3333333333333333
121,"0.15 optimal, m_nr: 30, t_nr: 10",sha512,10,96,0.01,0.644775743088611,977.79584295612,-0.22390574331957971,18.620689655172413,0.15,30,10,0.3333333333333333
125,"0.3 optimal, m_nr: 30, t_nr: 10",sha512,10,96,0.0,0.710953508953178,512.0,0.002769502845741595,21.551724137931036,0.3,30,10,0.3333333333333333
126,"0.3 optimal, m_nr: 30, t_nr: 10",sha512,10,96,0.01,0.7159733195529356,496.90836277974097,0.003341586049497358,19.071428571428573,0.3,30,10,0.3333333333333333
130,"0.1 optimal, m_nr: 30, t_nr: 10",sha512,10,96,0.0,0.7269511194369921,1536.0,0.0025807792372893046,21.551724137931036,0.1,30,10,0.3333333333333333
131,"0.1 optimal, m_nr: 30, t_nr: 10",sha512,10,96,0.01,0.7231929503125807,1395.2151838671414,0.004424179774816045,19.724137931034484,0.1,30,10,0.3333333333333333
135,"0.25 optimal, m_nr: 30, t_nr: 10",sha512,10,96,0.0,0.7238702138756538,512.0,0.0023331035567544928,20.862068965517242,0.25,30,10,0.3333333333333333
136,"0.25 optimal, m_nr: 30, t_nr: 10",sha512,10,96,0.01,0.7010374214854497,497.7367027677497,0.0026446423864704693,16.428571428571427,0.25,30,10,0.3333333333333333
140,"0.05 optimal, m_nr: 30, t_nr: 10",sha512,10,96,0.0,0.7160995797927142,3584.0,0.0026932297584416065,21.275862068965516,0.05,30,10,0.3333333333333333
141,"0.05 optimal, m_nr: 30, t_nr: 10",sha512,10,96,0.01,0.7122238196300676,2968.4405244338504,-0.0024118021726609873,20.275862068965516,0.05,30,10,0.3333333333333333
145,"0.2 optimal, m_nr: 30, t_nr: 10",sha512,10,96,0.0,0.6954629379332514,1024.0,0.0015374036890745124,20.896551724137932,0.2,30,10,0.3333333333333333
