,X,DIGESTMOD,QUALITY,PAYLOAD_SIZE_BYTE,ATTACK_PROBABILITY,goodput,avg_verification,latency,frame_rate
144,"0.95 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.2,0.02919236500927388,42.26231584983035,,1.0
145,"0.95 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.3,0.0046168992156803215,11.395970512431587,,
146,"0.8 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.0,0.5079316922955887,512.0,0.012884495467367928,7.222222222222222
147,"0.8 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.01,0.504022419240356,481.69416693261905,0.11422748195579413,4.875
148,"0.8 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.1,0.40658114775212456,277.17954778187215,1.2002394182845932,1.0
149,"0.8 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.2,0.258146377561698,140.3241932709884,2.9739403298560965,
150,"0.8 opmtial, m_nr: 30, t_nr: 10",sha256,25,16,0.3,0.14122231477123864,68.24427557044223,,
151,"0.85 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.0,0.42655545702224007,768.0,0.01476442204056148,6.615384615384615
152,"0.85 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.01,0.43293438108745574,724.0559117061882,0.10435516644015368,4.884615384615385
153,"0.85 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.1,0.3829391516428262,415.2925296699207,1.3102472152859963,
154,"0.85 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.2,0.27370423206326905,209.05533042316438,2.406977549455456,
155,"0.85 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.3,0.1613242426759307,101.79707236851335,,
156,"0.75 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.0,0.42582847186952727,512.0,0.014141537136233125,6.148148148148148
157,"0.75 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.01,0.42767458830122335,492.2005558548655,0.33127568698629284,5.518518518518518
158,"0.75 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.1,0.3934359482792088,338.6162174699939,-0.303752027781213,1.0
159,"0.75 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.2,0.3120797996194411,214.51881254588565,-0.9746050428100913,
160,"0.75 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.3,0.22670841538439385,132.93364297632513,-1.8125614984661975,
161,"0.7 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.0,0.42431845512808714,256.0,0.014029803505800976,7.0
162,"0.7 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.01,0.42283382010855075,250.89448644121268,-0.012668108132094968,4.608695652173913
163,"0.7 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.1,0.3808703408987068,208.04065705796734,-0.16607425426313677,1.0
164,"0.7 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.2,0.3319668381292622,165.6456719312595,-0.21794851487685138,
165,"0.7 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.3,0.28257666497552714,127.7365559370758,-0.2180579417831166,
166,"0.9 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.0,0.43239009610873946,1280.0,0.01361989617496868,6.888888888888889
167,"0.9 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.01,0.43282381532874176,1161.1359483085748,0.017100573980366216,5.615384615384615
168,"0.9 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.1,0.35743171338349455,451.8695959280808,0.05550402248332308,
169,"0.9 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.2,0.1860481201263897,137.2269886622996,,
